article_ref,titre,contenu,url,source,date_collecte
R4222-24,Titre Article,Contenu de l'article R4222-1,https://code.travail.gouv.fr/code-du-travail/r4222-24,CDTN (Scraping Web),2026-01-21 17:30:44.540751
R4222-25,Titre Article,Contenu de l'article R4222-1,https://code.travail.gouv.fr/code-du-travail/r4222-25,CDTN (Scraping Web),2026-01-21 17:30:44.541975
R4222-26,Titre Article,Contenu de l'article R4222-1,https://code.travail.gouv.fr/code-du-travail/r4222-26,CDTN (Scraping Web),2026-01-21 17:30:44.543660
R4212-1,Titre Article,Contenu de l'article R4222-1,https://code.travail.gouv.fr/code-du-travail/r4212-1,CDTN (Scraping Web),2026-01-21 17:30:44.543660
R4212-2,Titre Article,Contenu de l'article R4222-1,https://code.travail.gouv.fr/code-du-travail/r4212-2,CDTN (Scraping Web),2026-01-21 17:30:44.545331
R4212-3,Titre Article,Contenu de l'article R4222-1,https://code.travail.gouv.fr/code-du-travail/r4212-3,CDTN (Scraping Web),2026-01-21 17:30:44.545331
R4212-4,Titre Article,Contenu de l'article R4222-1,https://code.travail.gouv.fr/code-du-travail/r4212-4,CDTN (Scraping Web),2026-01-21 17:30:44.546938
R4212-5,Titre Article,Contenu de l'article R4222-1,https://code.travail.gouv.fr/code-du-travail/r4212-5,CDTN (Scraping Web),2026-01-21 17:30:44.546938
R4212-6,Titre Article,Contenu de l'article R4222-1,https://code.travail.gouv.fr/code-du-travail/r4212-6,CDTN (Scraping Web),2026-01-21 17:30:44.549162
R4212-7,Titre Article,Contenu de l'article R4222-1,https://code.travail.gouv.fr/code-du-travail/r4212-7,CDTN (Scraping Web),2026-01-21 17:30:44.549708
R4412-149,Titre Article,Contenu de l'article R4222-1,https://code.travail.gouv.fr/code-du-travail/r4412-149,CDTN (Scraping Web),2026-01-21 17:30:44.551391
R4412-150,Titre Article,Contenu de l'article R4222-1,https://code.travail.gouv.fr/code-du-travail/r4412-150,CDTN (Scraping Web),2026-01-21 17:30:44.553026
R4412-152,Titre Article,Contenu de l'article R4222-1,https://code.travail.gouv.fr/code-du-travail/r4412-152,CDTN (Scraping Web),2026-01-21 17:30:44.554721
R4412-154,Titre Article,Contenu de l'article R4222-1,https://code.travail.gouv.fr/code-du-travail/r4412-154,CDTN (Scraping Web),2026-01-21 17:30:44.554721
R4412-156,Titre Article,Contenu de l'article R4222-1,https://code.travail.gouv.fr/code-du-travail/r4412-156,CDTN (Scraping Web),2026-01-21 17:30:44.556316
R4412-157,Titre Article,Contenu de l'article R4222-1,https://code.travail.gouv.fr/code-du-travail/r4412-157,CDTN (Scraping Web),2026-01-21 17:30:44.557663
R4412-158,Titre Article,Contenu de l'article R4222-1,https://code.travail.gouv.fr/code-du-travail/r4412-158,CDTN (Scraping Web),2026-01-21 17:30:44.559268
R4412-159,Titre Article,Contenu de l'article R4222-1,https://code.travail.gouv.fr/code-du-travail/r4412-159,CDTN (Scraping Web),2026-01-21 17:30:44.560192
R4412-160,Titre Article,Contenu de l'article R4222-1,https://code.travail.gouv.fr/code-du-travail/r4412-160,CDTN (Scraping Web),2026-01-21 17:30:44.560700
R4412-97,Titre Article,Contenu de l'article R4222-1,https://code.travail.gouv.fr/code-du-travail/r4412-97,CDTN (Scraping Web),2026-01-21 17:30:44.560700
