article_ref,titre,contenu,url,source,date_collecte,type,processed_at
R4222-14,R4222-14,"R4222-14Source :Code du travail- Mis à jour le :01/05/2008L'air provenant d'un local à pollution spécifique ne peut être recyclé que s'il est efficacement épuré. Il ne peut être envoyé après recyclage dans d'autres locaux que si la pollution de tous les locaux concernés est de même nature. En cas de recyclage, les concentrations de poussières et substances dans l'atmosphère du local doivent demeurer inférieures aux valeurs limites d'exposition professionnelle définies aux articlesR. 4222-10,R. 4412-149etR. 4412-150.Avez-vous trouvé la réponse à votre question ?NonOuiArticles liés:Les risques liés aux soudures et fumées de soudage : sources réglementairesLa prévention des risques liés aux fluides d'usinage : sources réglementairesLes risques liés à l'hydrogène sulfuré : sources réglementairesLes risques liés à l'acide chlorhydrique ou chlorure d’hydrogène : sources réglementairesPartager la pageFacebookX (anciennement Twitter)LinkedinCourrielWhatsappLien de copie",https://code.travail.gouv.fr/code-du-travail/r4222-14,CDTN (Scraping Web),2026-01-20 16:45:53.224621,REGLEMENTATION,2026-01-20 16:49:58.610427
R4222-15,R4222-15,"R4222-15Source :Code du travail- Mis à jour le :01/05/2008Des prescriptions particulières, prises en application du 3° de l'articleL. 4111-6, interdisent ou limitent, le cas échéant, l'utilisation du recyclage pour certaines catégories de substances ou catégories de locaux.Avez-vous trouvé la réponse à votre question ?NonOuiArticles liés:La prévention des risques liés aux éthers de glycol : sources réglementairesSalariés détachés : l'hébergementJeune de 15 à moins de 18 ans en entreprise : travaux interdits et travaux réglementésSalariés détachés : la santé-sécurité au travail et les accidents du travailPartager la pageFacebookX (anciennement Twitter)LinkedinCourrielWhatsappLien de copie",https://code.travail.gouv.fr/code-du-travail/r4222-15,CDTN (Scraping Web),2026-01-20 16:45:54.632888,REGLEMENTATION,2026-01-20 16:49:58.610427
R4222-16,R4222-16,"R4222-16Source :Code du travail- Mis à jour le :01/05/2008Les installations de recyclage comportent un système de surveillance permettant de déceler les défauts des dispositifs d'épuration. En cas de défaut, les mesures nécessaires sont prises par l'employeur pour maintenir le respect des valeurs limites d'exposition professionnelle définies aux articlesR. 4222-10etR. 4412-149, le cas échéant, en arrêtant le recyclage.Avez-vous trouvé la réponse à votre question ?NonOuiArticles liés:Les risques liés à l'acide chlorhydrique ou chlorure d’hydrogène : sources réglementairesLes risques liés à l'acide fluorhydrique ou fluorure d’hydrogène : sources réglementairesLa prévention des risques liés aux poussières : sources réglementairesLes valeurs limites d’exposition professionnelle aux risques chimiques : sources réglementairesPartager la pageFacebookX (anciennement Twitter)LinkedinCourrielWhatsappLien de copie",https://code.travail.gouv.fr/code-du-travail/r4222-16,CDTN (Scraping Web),2026-01-20 16:45:59.280383,REGLEMENTATION,2026-01-20 16:49:58.610427
R4222-17,R4222-17,"R4222-17Source :Code du travail- Mis à jour le :01/01/2018En cas de recyclage de l'air, les conditions du recyclage sont portées à la connaissance du médecin du travail, des membres du                    comité social et économique.Ces personnes sont également consultées sur toute nouvelle installation ou toute modification des conditions de recyclage.Avez-vous trouvé la réponse à votre question ?NonOuiArticles liés:Un salarié peut-il être dispensé de la visite médicale d'embauche ?Le travail de nuit : de quel suivi de son état de santé le travailleur de nuit bénéficie-t-il ?Un travailleur temporaire est-il suivi par la médecine du travail ?Méthodes et stratégie de prélèvements atmosphériques individuels : stratégie de prélèvements atmosphériques individuels : comment procéder ?Partager la pageFacebookX (anciennement Twitter)LinkedinCourrielWhatsappLien de copie",https://code.travail.gouv.fr/code-du-travail/r4222-17,CDTN (Scraping Web),2026-01-20 16:46:02.336752,REGLEMENTATION,2026-01-20 16:49:58.610427
R4222-18,R4222-18,"R4222-18Source :Code du travail- Mis à jour le :01/05/2008L'atmosphère des locaux de travail et de leurs dépendances est tenu constamment à l'abri de toute émanation provenant d'égouts, fosses, puisards, fosses d'aisances ou de toute autre source d'infection.Avez-vous trouvé la réponse à votre question ?NonOuiArticles liés:Travail dans le froid : ressourcesSanté et sécurité : conception et aménagement des lieux de travailSalariés détachés : l'hébergementChaleur et canicule au travail : un cadre règlementaire renforcéPartager la pageFacebookX (anciennement Twitter)LinkedinCourrielWhatsappLien de copie",https://code.travail.gouv.fr/code-du-travail/r4222-18,CDTN (Scraping Web),2026-01-20 16:46:05.916502,REGLEMENTATION,2026-01-20 16:49:58.610427
R4222-19,R4222-19,"R4222-19Source :Code du travail- Mis à jour le :01/05/2008Dans les établissements qui déversent les eaux résiduaires ou de lavage dans un égout public ou privé, toute communication entre l'égout et l'établissement est munie d'un intercepteur hydraulique.Cet intercepteur hydraulique est fréquemment nettoyé, et sa garde d'eau assurée en permanence.Avez-vous trouvé la réponse à votre question ?NonOuiArticles liés:Travail et Covid-19 : quelles sont les règles ?Santé et sécurité : utilisation et aménagement des lieux de travailLe travail du dimanche : quelles sont les dérogations reposant sur un fondement géographique ?Règlement intérieur d'une entreprisePartager la pageFacebookX (anciennement Twitter)LinkedinCourrielWhatsappLien de copie",https://code.travail.gouv.fr/code-du-travail/r4222-19,CDTN (Scraping Web),2026-01-20 16:46:09.005829,REGLEMENTATION,2026-01-20 16:49:58.610427
R4222-20,R4222-20,R4222-20Source :Code du travail- Mis à jour le :01/05/2008L'employeur maintient l'ensemble des installations mentionnées au présent chapitre en bon état de fonctionnement et en assure régulièrement le contrôle.Avez-vous trouvé la réponse à votre question ?NonOuiArticles liés:La prévention des risques liés aux poussières : les moyens de préventionLes risques liés à l'hydrogène sulfuré : les moyens de préventionLes risques liés aux grues à tour : les moyens de préventionLa prévention des risques dans les espaces confinés : les moyens de préventionPartager la pageFacebookX (anciennement Twitter)LinkedinCourrielWhatsappLien de copie,https://code.travail.gouv.fr/code-du-travail/r4222-20,CDTN (Scraping Web),2026-01-20 16:46:12.348268,REGLEMENTATION,2026-01-20 16:49:58.610427
R4222-21,R4222-21,"R4222-21Source :Code du travail- Mis à jour le :01/01/2018L'employeur indique dans une consigne d'utilisation les dispositions prises pour la ventilation et fixe les mesures à prendre en cas de panne des installations.Cette consigne est établie en tenant compte, s'il y a lieu, des indications de la notice d'instructions fournie par le maître d'ouvrage conformément à l'articleR. 4212-7.Elle est soumise à l'avis du médecin du travail, du                    comité social et économique.Avez-vous trouvé la réponse à votre question ?NonOuiArticles liés:Santé et sécurité : conception et aménagement des lieux de travailSanté et sécurité : utilisation et aménagement des lieux de travailLa protection de la santé des jeunes travailleurs : la réglementation du travail concernant les jeunes (web série droit du travail)Partager la pageFacebookX (anciennement Twitter)LinkedinCourrielWhatsappLien de copie",https://code.travail.gouv.fr/code-du-travail/r4222-21,CDTN (Scraping Web),2026-01-20 16:46:13.722112,REGLEMENTATION,2026-01-20 16:49:58.610427
R4222-22,R4222-22,"R4222-22Source :Code du travail- Mis à jour le :01/05/2008Des arrêtés conjoints des ministres chargés du travail et de l'agriculture fixent :1° Les méthodes de mesure de concentration, de débit, d'efficacité de captage, de filtration et d'épuration ;2° La nature et la fréquence du contrôle des installations mentionnées au présent chapitre.Avez-vous trouvé la réponse à votre question ?NonOuiArticles liés:Les masques de protection respiratoire : quels sont les différents types de masques ?Partager la pageFacebookX (anciennement Twitter)LinkedinCourrielWhatsappLien de copie",https://code.travail.gouv.fr/code-du-travail/r4222-22,CDTN (Scraping Web),2026-01-20 16:46:15.158379,REGLEMENTATION,2026-01-20 16:49:58.610427
R4222-23,R4222-23,"R4222-23Source :Code du travail- Mis à jour le :01/05/2008Dans les puits, conduites de gaz, carneaux, conduits de fumée, cuves, réservoirs, citernes, fosses, galeries et dans les lieux où il n'est pas possible d'assurer de manière permanente le respect des dispositions du présent chapitre, les travaux ne sont entrepris qu'après vérification de l'absence de risque pour la santé et la sécurité des travailleurs et, le cas échéant, après assainissement de l'atmosphère et vidange du contenu.Avez-vous trouvé la réponse à votre question ?NonOuiArticles liés:La prévention des risques dans les espaces confinés : données généralesLa prévention des risques dans les espaces confinés : pour en savoir plusLes risques liés à l'hydrogène sulfuré : les moyens de préventionJeune de 15 à moins de 18 ans en entreprise : travaux interdits et travaux réglementésPartager la pageFacebookX (anciennement Twitter)LinkedinCourrielWhatsappLien de copie",https://code.travail.gouv.fr/code-du-travail/r4222-23,CDTN (Scraping Web),2026-01-20 16:46:16.970983,REGLEMENTATION,2026-01-20 16:49:58.610427
R4222-24,R4222-24,"R4222-24Source :Code du travail- Mis à jour le :01/05/2008Pendant l'exécution des travaux, la ventilation est réalisée suivant les prescriptions de l'articleR. 4222-6ouR. 4222-11, selon qu'il s'agit d'un local à pollution non spécifique ou d'un local à pollution spécifique, de manière à maintenir la salubrité de l'atmosphère et à en assurer un balayage permanent, sans préjudice, pour les travaux souterrains, des dispositions des articlesR. 4534-43 à R. 4534-49.Avez-vous trouvé la réponse à votre question ?NonOuiArticles liés:Les risques liés aux soudures et fumées de soudage : sources réglementairesLa prévention des risques dans les espaces confinés : les moyens de préventionLes masques de protection respiratoire : quels sont les différents types de masques ?Santé et sécurité : conception et aménagement des lieux de travailPartager la pageFacebookX (anciennement Twitter)LinkedinCourrielWhatsappLien de copie",https://code.travail.gouv.fr/code-du-travail/r4222-24,CDTN (Scraping Web),2026-01-20 16:46:19.952171,REGLEMENTATION,2026-01-20 16:49:58.610427
R4222-25,R4222-25,"R4222-25Source :Code du travail- Mis à jour le :01/05/2008Si l'exécution des mesures de protection collective prévues par le présent chapitre est impossible, des équipements de protection individuelle sont mis à la disposition des travailleurs.Ces équipements sont choisis et adaptés en fonction de la nature des travaux à accomplir et présentent des caractéristiques d'efficacité compatibles avec la nature du risque auquel les travailleurs sont exposés. Ils ne doivent pas les gêner dans leur travail ni, autant que possible, réduire leur champ visuel.Avez-vous trouvé la réponse à votre question ?NonOuiArticles liés:Les risques liés aux rayonnages de stockage : sources réglementairesLa prévention des chutes de hauteur : obligations réglementairesLa prévention des risques dans les espaces confinés : les moyens de préventionTravail dans le froid : ressourcesPartager la pageFacebookX (anciennement Twitter)LinkedinCourrielWhatsappLien de copie",https://code.travail.gouv.fr/code-du-travail/r4222-25,CDTN (Scraping Web),2026-01-20 16:46:23.803819,REGLEMENTATION,2026-01-20 16:49:58.610427
R4222-26,R4222-26,"R4222-26Source :Code du travail- Mis à jour le :01/05/2008L'employeur prend les mesures nécessaires pour que les équipements de protection individuelle soient effectivement utilisés, maintenus en bon état de fonctionnement et désinfectés avant d'être attribués à un nouveau titulaire.Avez-vous trouvé la réponse à votre question ?NonOuiArticles liés:Un local vestiaire est-il obligatoire dans l'entreprise ?Salariés détachés : l'hébergementCDD : quels sont les droits individuels des salariés sous contrat à durée déterminée ?CDD : quels sont les droits individuels des salariés sous contrat à durée déterminée ?Partager la pageFacebookX (anciennement Twitter)LinkedinCourrielWhatsappLien de copie",https://code.travail.gouv.fr/code-du-travail/r4222-26,CDTN (Scraping Web),2026-01-20 16:46:27.479632,REGLEMENTATION,2026-01-20 16:49:58.610427
R4212-1,R4212-1,R4212-1Source :Code du travail- Mis à jour le :01/05/2008Le maître d'ouvrage conçoit et réalise les bâtiments et leurs aménagements de façon à ce que les locaux fermés dans lesquels les travailleurs sont appelés à séjourner soient conformes aux règles d'aération et d'assainissement prévues aux articlesR. 4222-1 à R. 4222-17.Avez-vous trouvé la réponse à votre question ?NonOuiArticles liés:Santé et sécurité : conception et aménagement des lieux de travailSanté et sécurité : utilisation et aménagement des lieux de travailLe contrat à durée déterminée (CDD) en vidéo (web série droit du travail)Le contrat à durée déterminée (CDD) en vidéo (web série droit du travail)Partager la pageFacebookX (anciennement Twitter)LinkedinCourrielWhatsappLien de copie,https://code.travail.gouv.fr/code-du-travail/r4212-1,CDTN (Scraping Web),2026-01-20 16:46:28.915436,REGLEMENTATION,2026-01-20 16:49:58.610427
R4212-2,R4212-2,"R4212-2Source :Code du travail- Mis à jour le :01/05/2008Les installations de ventilation sont conçues de manière à :1° Assurer le renouvellement de l'air en tous points des locaux ;2° Ne pas provoquer, dans les zones de travail, de gêne résultant notamment de la vitesse, de la température et de l'humidité de l'air, des bruits et des vibrations ;3° Ne pas entraîner d'augmentation significative des niveaux sonores résultant des activités envisagées dans les locaux.Avez-vous trouvé la réponse à votre question ?NonOuiArticles liés:Santé et sécurité : conception et aménagement des lieux de travailLe bruit en milieu de travail : données généralesLa ventilation : comment capter les polluants ?La prévention des risques liés à la circulation interne dans les locaux : quels sont les risques ?Partager la pageFacebookX (anciennement Twitter)LinkedinCourrielWhatsappLien de copie",https://code.travail.gouv.fr/code-du-travail/r4212-2,CDTN (Scraping Web),2026-01-20 16:46:30.346891,REGLEMENTATION,2026-01-20 16:49:58.610427
R4212-3,R4212-3,"R4212-3Source :Code du travail- Mis à jour le :01/05/2008Toutes dispositions sont prises lors de l'installation des équipements de ventilation, de captage ou de recyclage pour permettre leur entretien régulier et les contrôles ultérieurs d'efficacité.Avez-vous trouvé la réponse à votre question ?NonOuiArticles liés:Les risques liés aux soudures et fumées de soudage : pour en savoir plusSanté et sécurité : conception et aménagement des lieux de travailTélétravail dans le secteur privéQuelles sont les modalités de mise en œuvre de l’APLD au sein de l’établissement ?Partager la pageFacebookX (anciennement Twitter)LinkedinCourrielWhatsappLien de copie",https://code.travail.gouv.fr/code-du-travail/r4212-3,CDTN (Scraping Web),2026-01-20 16:46:31.722030,REGLEMENTATION,2026-01-20 16:49:58.610427
R4212-4,R4212-4,R4212-4Source :Code du travail- Mis à jour le :01/05/2008Les parois internes des circuits d'arrivée d'air ne comportent pas de matériaux qui peuvent se désagréger ou se décomposer en émettant des poussières ou des substances dangereuses pour la santé des travailleurs.Avez-vous trouvé la réponse à votre question ?NonOuiArticles liés:La prévention des risques liés aux poussières : données généralesLa ventilation : comment capter les polluants ?Méthodes et stratégie de prélèvements atmosphériques individuels : stratégie de prélèvements atmosphériques individuels : comment procéder ?Les risques liés aux soudures et fumées de soudage : pour en savoir plusPartager la pageFacebookX (anciennement Twitter)LinkedinCourrielWhatsappLien de copie,https://code.travail.gouv.fr/code-du-travail/r4212-4,CDTN (Scraping Web),2026-01-20 16:46:33.352620,REGLEMENTATION,2026-01-20 16:49:58.610427
R4212-5,R4212-5,"R4212-5Source :Code du travail- Mis à jour le :01/05/2008Dans les locaux à pollution non spécifique définis à l'articleR. 4222-3, le maître d'ouvrage :1 Prévoit un système de filtration de l'air neuf lorsqu'il existe un risque de pollution de cet air par des particules solides et que son introduction est mécanique ;2 Prend les mesures nécessaires pour que l'air pollué en provenance des locaux à pollution spécifique définis à l'article précité ne pénètre pas.Avez-vous trouvé la réponse à votre question ?NonOuiArticles liés:Les risques liés à la peinture par pulvérisation : pour en savoir plusLes risques liés aux soudures et fumées de soudage : sources réglementairesSanté et sécurité : conception et aménagement des lieux de travailLa prévention des risques dans les espaces confinés : les moyens de préventionPartager la pageFacebookX (anciennement Twitter)LinkedinCourrielWhatsappLien de copie",https://code.travail.gouv.fr/code-du-travail/r4212-5,CDTN (Scraping Web),2026-01-20 16:46:34.709134,REGLEMENTATION,2026-01-20 16:49:58.610427
R4212-6,R4212-6,"R4212-6Source :Code du travail- Mis à jour le :01/05/2008Le maître d'ouvrage prévoit dans les locaux sanitaires l'introduction d'un débit minimal d'air déterminé par le tableau suivant :DÉSIGNATION DES LOCAUXDÉBIT MINIMALd'air introduit(en mètres cubespar heure et par local)Cabinet d'aisances isolé (**)30Salle de bains ou de douches isolé (**)45Commune avec un cabinet d'aisances60Bains, douches et cabinets d'aisances groupés30 + 15 N (*)Lavabos groupés10 + 5 N (*)N (*) : nombre d'équipements dans le local(**) : pour un cabinet d'aisances, une salle de bains ou de douches avec ou sans cabinet d'aisances, le débit minimal d'air introduit peut être limité à 15 mètres cubes par heure si ce local n'est pas à usage collectif.Avez-vous trouvé la réponse à votre question ?NonOuiArticles liés:Salariés détachés : l'hébergementPartager la pageFacebookX (anciennement Twitter)LinkedinCourrielWhatsappLien de copie",https://code.travail.gouv.fr/code-du-travail/r4212-6,CDTN (Scraping Web),2026-01-20 16:46:36.066031,REGLEMENTATION,2026-01-20 16:49:58.610427
R4212-7,R4212-7,"R4212-7Source :Code du travail- Mis à jour le :01/05/2008Le maître d'ouvrage précise, dans une notice d'instructions qu'il transmet à l'employeur, les dispositions prises pour la ventilation et l'assainissement des locaux et les informations nécessaires à l'entretien des installations, au contrôle de leur efficacité et à l'établissement de la consigne d'utilisation prévue à l'articleR. 4222-21.Avez-vous trouvé la réponse à votre question ?NonOuiArticles liés:La prévention des risques dans les espaces confinés : les moyens de préventionSanté et sécurité : conception et aménagement des lieux de travailSalariés détachés : l'hébergementLa protection de la santé des jeunes travailleurs : la réglementation du travail concernant les jeunes (web série droit du travail)Partager la pageFacebookX (anciennement Twitter)LinkedinCourrielWhatsappLien de copie",https://code.travail.gouv.fr/code-du-travail/r4212-7,CDTN (Scraping Web),2026-01-20 16:46:37.571209,REGLEMENTATION,2026-01-20 16:49:58.610427
R4412-149,R4412-149,"R4412-149Source :Code du travail- Mis à jour le :05/04/2024Les concentrations des agents chimiques présents dans l'atmosphère des lieux de travail figurant dans le tableau suivant ne doivent pas dépasser, dans la zone de respiration des travailleurs, les valeurs limites d'exposition professionnelle définies ci-après :DénominationNuméroCE (1)Numéro CAS (2)Valeur limited'exposition professionnelleValeur limited'exposition professionnelleObservationsMesurestransitoires8h (3)court terme (4)mg/m3 (5)ppm (6)fibres par cm3mg/m3ppmfibres par cm3Acétate d'éthyle205-500-4141-78-6734200-1468400---Acétate d'isobutyle203-745-1110-19-024150-723150---Acétate d'isopentyle204-662-3123-92-227050-540100---Acétate de 2-butoxyéthyle203-933-3112-07-266,510-33350-Peau (7)-Acétate de 2-éthoxyéthyle203-839-2111-15-9112----Peau (7)-Acétate de n-butyle204-658-1123-86-424150-723150---Acétate de 2-méthoxyéthyle203-772-9110-49-651----Peau (7)-Acétate de 2-méthoxy-1-méthyléthyle203-603-9108-65-627550-550100-Peau (7)",https://code.travail.gouv.fr/code-du-travail/r4412-149,CDTN (Scraping Web),2026-01-20 16:46:40.830441,REGLEMENTATION,2026-01-20 16:49:58.610427
R4412-150,R4412-150,"R4412-150Source :Code du travail- Mis à jour le :01/05/2008Des valeurs limites d'exposition professionnelle indicatives, constituant des objectifs de prévention, peuvent être fixées par arrêté conjoint des ministres chargés du travail et de l'agriculture.Avez-vous trouvé la réponse à votre question ?NonOuiArticles liés:La prévention des risques liés aux poussières : sources réglementairesQuelle est la date du prochain renouvellement des conseils de prud'hommes ?Les risques liés au benzène : pour en savoir plusPénibilité : référentiels professionnels de branche homologuésPartager la pageFacebookX (anciennement Twitter)LinkedinCourrielWhatsappLien de copie",https://code.travail.gouv.fr/code-du-travail/r4412-150,CDTN (Scraping Web),2026-01-20 16:46:42.189552,REGLEMENTATION,2026-01-20 16:49:58.610427
